,epochs,alpha,f1
0,50,0.05,0.746187536113858
1,50,0.1,0.7528419307546225
2,50,0.2,0.6908528301679546
3,50,0.5,0.6863482959844641
4,100,0.05,0.7557386515221993
5,100,0.1,0.6978164769221371
6,100,0.2,0.7131979001363213
7,100,0.5,0.6761453490958069
8,150,0.05,0.7294818735317669
9,150,0.1,0.6755863495961544
10,150,0.2,0.7230540544964289
11,150,0.5,0.673597146934952
12,200,0.05,0.7228307759150198
13,200,0.1,0.6708101821917387
14,200,0.2,0.7494189447614324
15,200,0.5,0.6781775332870583
